quaycode,quayname,quaystatus,transportmode,lat,lon,visuallyaccessible,disabledaccessible,compassdirection,validfrom,quayshapetype,baylength,markedkerb,lift,guidelines,groundsurfaceindicator,stopplaceaccessroute,mutationdate,kerbheight,boardingpositionwidth,alightingpositionwidth,liftedpartlength,narrowestpassagewidth,fulllengthguideline,guidelinestopplaceconnection,tactilegroundsurfaceindicator,ramp,heightwithenvironment,bayentranceangles,ramplength,rampwidth,embaymentwidth,bayexitangles
NL:Q:30001128,Kraaienplein,available,bus,52.38593575621154,4.914977765341031,false,false,120,2020-05-24T22:00:00Z,semi-haltehaven,10.1,true,false,false,false,true,2021-02-25T11:33:45Z,0.09,0.49,0.49,0.01,0.47,false,false,false,false,0,0.01,,,,3
NL:Q:30001129,Kraaienplein,available,bus,52.386204964854784,4.914872075231561,false,false,300,2020-05-24T22:00:00Z,langshalte,17.21,true,false,false,true,true,2021-02-25T11:33:45Z,0.11,2.1,2.1,0.01,2.1,false,false,true,false,0,,,,,
NL:Q:30001162,Eeuwige Jeugdlaan,outofuse,bus,52.40591800522724,4.934074618875381,false,false,252,2019-03-01T00:00:00Z,unknown,0,false,false,false,false,false,2021-02-25T11:33:45Z,,,,,,false,false,false,false,,,,,,
NL:Q:30001161,Eeuwige Jeugdlaan,available,bus,52.405855600166014,4.934207515874523,true,true,67,2020-05-24T22:00:00Z,haltehaven,23.2,true,false,true,true,true,2021-02-25T11:33:45Z,0.18,1.7,2.4,19.6,2,true,true,true,false,0.12,22,,2.1,3,12
NL:Q:30005092,Barentszplein,available,bus,52.389453133808274,4.891568493038532,true,true,329,2020-05-24T22:00:00Z,semi-haltehaven,20.4,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,1.1,1.5,17,1.1,true,true,true,true,0.08,20,1,1.2,3,
NL:Q:30005093,Barentszplein,available,bus,52.38897674755057,4.891559129851219,true,true,152,2020-05-24T22:00:00Z,haltehaven,20.4,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,1.5,1.5,17,1,true,true,true,true,0.1,10,1.5,1.4,2.8,16
NL:Q:30008097,1e v.Swindenstraat,available,tram,52.361642465977745,4.924191652830025,true,false,333,2019-03-14T00:00:00Z,langshalte,59,true,false,true,false,false,2021-01-08T13:34:25Z,0.2,1.8,1.8,53,1.2,false,true,false,true,0.18,,6,1.3,,
NL:Q:30008098,1e v.Swindenstraat,available,tram,52.36212640386385,4.923834259578664,true,true,155,2018-11-15T00:00:00Z,langshalte,67,true,false,true,false,false,2021-02-25T11:33:45Z,0.2,2.5,2.85,56,1,false,true,false,true,0.16,,5,2.8,,
NL:Q:30009098,Amsteldijk,available,tram,52.3559116300349,4.90477257215701,false,true,73,2020-05-24T22:00:00Z,langshalte,64,true,false,false,false,true,2021-02-25T11:33:45Z,0.2,1.67,2.16,64,1.4,false,false,false,true,0.17,,2.1,1.97,,
NL:Q:30009099,Amsteldijk,available,tram,52.35572876966859,4.904011260881943,false,true,253,2020-05-24T22:00:00Z,langshalte,64,true,false,false,false,true,2021-02-25T11:33:45Z,0.19,1.52,1.64,64,1.3,false,false,false,true,0.1,,3,1.9,,
NL:Q:30000118,Echtenstein,available,bus,52.32469313120263,4.959825414119897,true,true,71,2020-05-24T22:00:00Z,langshalte,39.1,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,2.7,2.4,35.7,1.5,true,true,true,true,3,,68,1.5,,
NL:Q:30000119,Echtenstein,available,bus,52.32501784462397,4.960144999352937,true,true,251,2020-05-24T22:00:00Z,langshalte,40.8,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,2.4,4.2,37.4,1.5,true,true,true,true,3,,60,1.5,,
NL:Q:30000158,Dolingadreef,available,bus,52.319000265365844,4.949012200517161,true,true,332,2020-05-24T22:00:00Z,haltehaven,40.8,true,false,true,true,true,2021-01-08T13:34:25Z,0.18,2.4,3,37.4,1.8,true,true,true,true,4,20,94,1.8,3,16
